budget,vote_average,vote_count,runtime,status,revenue,com_website,title_len,is_in_collection,en_language,fr_language,hi_language,es_language,ja_language,ru_language,it_language,ko_language,ta_language,zh_language,genre_10749,genre_18,genre_35,genre_53,genre_80,year,month
2800000,7.4,1297,111.0,1,60922980,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1976,6
24000000,6.3,406,76.0,1,32710894,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,10
21000000,5.8,169,120.0,1,17600000,0,10,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008,1
14800000,6.2,1445,115.0,1,117813057,0,14,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,1
25000000,5.5,1129,96.0,1,72629670,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,2
2900000,7.2,415,90.0,1,296557,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2009,10
62000000,6.6,993,141.0,1,215887717,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,3
450000,7.1,23,134.0,1,2300000,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,10
344,4.8,6,104.0,1,4,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,9
24000000,5.8,124,89.0,1,14782676,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,11
25500000,6.1,347,128.0,1,2415472,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,8
910000,8.0,1023,108.0,1,9600000,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1954,6
35000000,6.8,2350,122.0,1,75836683,0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,6
25000000,5.7,317,100.0,1,51702483,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,9
4000000,6.7,638,113.0,1,44909486,0,14,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,7
29000000,6.1,976,104.0,1,34994648,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,6
30000000,5.9,667,106.0,1,23619609,0,15,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,9
70000000,5.6,1074,112.0,1,111231041,0,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2008,7
50000000,5.6,2315,86.0,1,216909830,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,7
190000000,7.3,8372,137.0,1,1515047671,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,1
4000000,7.4,5599,111.0,1,65046687,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,10
250000,10.0,1,85.0,1,400000,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,11
1750000,6.6,28,109.0,1,2200000,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1957,12
165000000,7.8,12739,102.0,1,657827828,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,10
80000000,6.1,3055,101.0,1,247022278,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,11
16000000,5.7,574,90.0,1,55060212,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,2
12000000,6.3,98,92.0,1,84967,0,20,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2005,10
22000000,6.3,895,122.0,1,11942780,0,21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,11
531374,7.7,708,96.0,1,1103757,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1939,3
170000000,7.3,8786,130.0,1,710644566,0,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6
15000000,6.6,578,158.0,1,660132,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,2
28000000,6.8,430,139.0,1,31596911,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,4
32500000,6.5,3540,125.0,1,288383523,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,5
85000000,6.1,1998,86.0,1,197309027,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,9
7920000,7.1,435,140.0,1,14560084,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978,9
3000000,6.5,225,110.0,1,12800000,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1974,5
8500000,5.4,879,90.0,1,7500000,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,5
15000000,4.9,32,105.0,1,5217498,0,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2000,7
25000000,7.0,1020,85.0,1,106209378,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,5
11000000,7.5,722,200.0,1,111858363,0,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1965,12
30000000,7.5,5693,94.0,1,151119219,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,11
3800000,6.3,226,121.0,1,2725258,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2007,9
2000000,6.8,6,50.0,1,4000000,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,10
500000,6.0,2,142.0,1,290000,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,5
22000000,6.5,1458,116.0,1,15400000,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,6
175000000,7.2,5548,112.0,1,529221154,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,11
2800000,7.1,99,135.0,1,2616503,0,18,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1994,1
35000000,7.4,2659,125.0,1,112544580,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,11
30000000,7.0,668,125.0,1,41480851,0,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006,9
13000000,7.4,1808,121.0,1,123922370,0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1987,12
521873,7.3,86,134.0,1,1013926,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2016,6
65000000,6.1,4367,83.0,1,179379533,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,5
4000000,7.3,120,105.0,1,253899,0,23,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,3
25000000,6.5,865,98.0,1,68377859,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2007,10
20000000,5.3,765,91.0,1,149281606,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,3
50000000,6.1,1906,119.0,1,173649015,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,12
20000000,6.3,153,106.0,1,51684798,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1988,3
30000000,5.5,364,92.0,1,54819301,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,4
34200000,6.4,2426,93.0,1,234801895,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1999,6
18000000,6.6,218,141.0,1,62000000,0,15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,8
2000000,6.2,79,91.0,1,124494,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,9
75000000,6.5,759,95.0,1,13596911,0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,10
31000000,7.0,776,117.0,1,185260553,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1996,8
8000000,8.5,21148,154.0,1,214179088,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1994,10
1300000,4.3,47,98.0,1,15000000,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,3
1821052,7.9,396,111.0,1,1300000,0,15,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1951,6
13000000,6.4,1286,105.0,1,115890699,0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,12
22000000,6.8,204,138.0,1,67800064,0,10,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,2
28000000,5.9,375,108.0,1,7002261,0,19,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,11
1746964,8.1,1079,146.0,1,2181987,0,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1984,8
60000000,5.5,2167,106.0,1,30418560,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,1
4000000,5.1,111,84.0,1,192816,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,11
85000000,6.5,1042,121.0,1,219103655,0,16,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2009,12
4000000,5.9,9487,125.0,1,571006128,0,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,11
6000000,4.9,40,107.0,1,869325,0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,8
15000000,4.3,50,90.0,1,2042530,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1996,1
258000000,6.3,9818,139.0,1,890871626,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,1
6,6.7,213,122.0,1,8,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2000,6
75000000,5.7,1586,87.0,1,342695435,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,12
20000000,5.6,520,101.0,1,36620508,0,21,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2008,9
17820000,6.3,881,94.0,1,14054361,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2004,1
13000000,8.3,13422,113.0,1,426588510,0,12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,2
40000000,6.6,2544,113.0,1,134734481,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2004,6
30000000,6.8,791,113.0,1,33013805,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2002,12
22000000,6.9,519,115.0,1,28744356,0,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1984,12
38000000,6.6,1901,105.0,1,299288605,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1997,6
9000000,5.1,346,84.0,1,21510851,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,12
14000000,6.1,875,119.0,1,13551174,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,2
70000000,6.4,2928,127.0,1,374111707,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000,12
4000000,7.3,3851,78.0,1,55675257,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970,12
100000000,6.0,4372,119.0,1,103039258,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,4
102000000,8.0,9346,137.0,1,520000000,0,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,3
425000,5.8,116,91.0,1,10604986,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1982,11
50000000,6.2,862,118.0,1,60161391,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,3
14000000,6.3,159,106.0,1,32645546,0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2005,2
3000000,5.0,7,90.0,1,1957000,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2011,3
1000000,7.4,134,92.0,1,1678874,0,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,4
7500000,5.3,17,102.0,1,4245870,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2002,9
20000000,5.4,249,100.0,1,17807569,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2006,9
115000000,5.9,4807,100.0,1,274703340,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,11
45000000,5.8,688,105.0,1,82800000,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2006,8
48000000,7.1,1438,147.0,1,207515725,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2000,3
8000000,6.1,425,95.0,1,6739141,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,9
65000000,6.8,2239,132.0,1,117487473,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,11
12000000,6.8,122,116.0,1,40716963,0,17,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1981,11
5000000,7.2,563,117.0,1,84563118,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,12
20000000,6.2,1207,100.0,1,8352885,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,7
463455,7.2,21,84.0,1,966878,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1926,9
4000000,7.6,536,108.0,1,56666667,0,28,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1967,11
3300000,6.6,103,120.0,1,5249225,0,21,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2015,4
25000000,6.3,721,98.0,1,27645491,0,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,3
3300000,6.7,27,105.0,1,2011837,0,17,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2004,7
38000000,6.7,2063,110.0,1,41657844,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,1
5000000,6.0,48,139.0,1,15000000,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1954,8
3000000,7.3,40,169.0,1,14000000,0,13,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2008,11
13000000,6.5,35,95.0,1,1832541,0,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,5
6500000,6.6,565,116.0,1,2401510,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,5
8500000,6.8,3742,100.0,1,43528634,0,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,2
47000000,6.8,1982,94.0,1,48919043,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1993,11
10000000,6.3,360,100.0,1,25605015,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1998,12
900000,7.4,899,82.0,1,17549645,0,17,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,7
8731048,7.1,658,117.0,1,36000000,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,5
2900000,6.4,1222,109.0,1,692079,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,9
8520000,6.9,53,125.0,1,56100000,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,1
2000000,4.8,20,93.0,1,458815,0,24,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1997,9
65000000,7.2,1056,97.0,1,131359052,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,2
3200000,7.8,2733,138.0,1,33395426,0,15,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1968,12
35000000,6.9,2002,96.0,1,15304890,0,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006,11
1500000,5.7,798,104.0,1,3566225,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,7
2000000,6.7,22,207.0,1,393816,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2011,12
80000000,6.2,5951,103.0,1,274470394,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2010,3
994000,6.3,126,89.0,1,165000,0,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006,3
3800000,6.3,204,88.0,1,1016985,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,8
7000000,6.8,1463,106.0,1,31430334,0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2009,9
82343495,7.4,1533,129.0,1,48814909,0,12,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2000,9
30000000,6.3,1971,113.0,1,75505973,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,10
8000000,7.5,1910,113.0,1,43004381,0,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1979,1
20000000,6.3,1000,105.0,1,32054369,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2010,9
26000000,7.5,2110,117.0,1,35926213,0,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,10
11500000,7.0,321,108.0,1,186702,0,21,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008,12
70000000,6.0,2833,118.0,1,154984035,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,1
4090000,7.0,117,102.0,1,18035000,0,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2011,1
645180,7.6,602,103.0,1,14743391,0,40,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1989,7
3000000,7.4,300,133.0,1,9012000,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,8
7000000,7.2,674,164.0,1,8373585,0,29,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1988,12
11000000,6.2,109,106.0,1,16668552,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,1
8000000,5.8,407,92.0,1,10848783,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2009,3
6000000,5.0,109,95.0,1,28202109,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1988,11
7400000,6.1,123,96.0,1,7690013,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,4
50000000,6.6,1003,124.0,1,119137784,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2002,10
9000000,5.5,155,92.0,1,20518905,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1985,3
13500000,7.2,439,124.0,1,7060876,0,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2000,11
55000000,6.2,3110,103.0,1,231449203,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2003,1
16000,3.5,47,66.0,1,1000000,0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1953,6
150000000,6.0,478,88.0,1,38992758,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,9
777000,6.5,619,86.0,1,2437000,0,8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1971,11
4000000,5.7,1937,98.0,1,4257354,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,9
23600000,7.3,9415,88.0,1,102391540,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2009,7
30000000,7.0,1796,160.0,1,14711793,0,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,7
64000000,7.6,2169,108.0,1,97571250,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,7
99000000,6.8,1206,88.0,1,246233113,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,1
25000000,6.0,1044,118.0,1,48782670,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,4
10000000,6.2,482,100.0,1,33000000,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2007,6
75000000,6.6,1021,102.0,1,119000410,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2007,12
1500000,6.1,124,124.0,1,12000000,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2004,8
24000000,7.0,806,126.0,1,88545092,0,21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1999,12
11000000,6.5,1141,85.0,1,8266343,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1990,5
5027266,6.5,530,117.0,1,19454845,0,10,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2017,1
15000000,7.3,326,124.0,1,10367161,0,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,9
12000000,6.6,383,103.0,1,16647800,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,1
10000000,6.4,780,91.0,1,54999651,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1986,3
9000000,6.4,1877,100.0,1,13960394,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,2
6500000,3.3,15,102.0,1,9816332,0,23,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2011,1
225000000,6.6,12132,143.0,1,754045518,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,12
5000000,6.8,344,113.0,1,41833347,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,5
30000000,5.8,1032,124.0,1,53909751,0,24,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,4
6000000,7.6,1501,111.0,1,102308889,0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,9
40000000,6.7,1593,123.0,1,129540499,0,13,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2009,6
